country_name,farright,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
Belgium,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,-1.987,-2.867,1.525,-1.42,-0.46,2.02,0.002,-2.281
Bulgaria,1,2.961,2.226,-2.781,-0.148,-3.56,-1.688,-4.8,-3.548,-2.955,-0.091,-1.729,0.67,-1.36,1.087,-0.19
Bulgaria,1,3.222,1.676,-2.081,0.253,-1.782,-0.978,-3.735,-3.053,-2.661,0.101,-2.134,0.688,-0.43,0.338,-1.295
Croatia,1,-0.255,-0.748,-0.221,-0.384,-0.549,-0.878,-2.496,-1.083,-2.063,-2.333,-1.65,-1.788,1.87,0.577,-1.36
Czech Republic,1,3.229,1.282,-0.763,-0.447,-1.176,-0.707,-3.733,-2.019,-2.411,0.906,-2.007,-1.094,-0.267,-0.494,-1.165
Denmark,1,1.383,0.349,0.465,1.066,-0.425,1.707,-3.717,-0.902,-3.521,0.485,0.823,-0.071,0.737,0.826,-2.089
Denmark,1,2.15,0.123,0.363,0.601,-0.325,1.711,-4.44,0.081,-2.982,1.781,1.199,-0.503,2.773,-0.785,-2.099
Estonia,1,-0.689,-0.7,1.609,1.18,1.427,1.795,-1.234,0.025,-1.093,1.681,-0.853,-0.198,0.449,1.442,-0.748
Finland,1,2.028,2.904,-0.884,1.162,-0.19,0.548,-3.671,-1.446,0.082,-0.264,0.764,-0.675,0.688,-1.092,-2.473
France,1,2.147,0.436,-1.685,0.323,-0.178,-0.549,-4.462,-1.984,-2.712,0.072,-0.659,-1.523,1.219,0.588,-0.898
Greece,1,3.641,2.726,-3.788,-2.817,-2.655,-4.106,-4.436,-1.537,-3.504,-1.298,-1.274,-3.439,1.857,-0.889,2.225
Hungary,1,3.377,0.905,-1.919,-0.217,-1.488,-1.745,-2.454,-3.183,-3.369,-0.756,-1.388,-1.663,0.331,1.03,-1.084
Hungary,1,0.842,-1.199,1.066,1.461,0.26,1.037,-0.031,-1.409,-0.499,-2.462,-1.619,-2.354,0.305,0.876,-1.623
Italy,1,2.271,0.54,-0.954,-0.214,-1.177,-0.784,-3.959,-1.778,-2.816,-1.303,-0.799,-2.563,2.982,-1.712,0.489
Italy,1,1.146,0.392,-1.069,-0.917,-1.011,-1.075,-3.323,-2.286,-1.948,-2.366,1.388,-2.666,2.302,-0.744,1.218
Latvia,1,-0.016,-1.084,-0.227,0.452,0.423,0.757,-2.562,-1.164,0.213,1.69,-0.796,1.043,1.132,1.055,-1.686
Netherlands,1,3.354,2.6,0.394,1.723,0.176,1.674,-4.314,1.302,-1.594,1.707,-2.492,-0.233,1.958,-1.192,-2.052
Norway,1,2.218,1.117,1.617,1.784,1.355,1.838,-2.989,-0.856,-0.228,0.61,0.53,1.06,2.753,0.545,-2.219
Poland,1,2.152,2.159,-1.289,0.718,-1.119,-0.021,-2.031,-2.656,-3.745,-3.124,-1.104,-3.76,0.411,0.043,-0.942
Poland,1,2.654,1.544,-1.612,0.896,-0.736,-0.231,-2.001,-0.926,-1.61,-0.716,-1.234,-0.83,0.87,0.035,-1.656
Romania,1,2.551,0.742,-3.624,-0.732,-1.638,-2.605,-3.889,-3.099,-3.47,-2.007,-2.054,0.449,0.902,-0.625,0.757
Slovakia,1,-0.058,0.186,-1.337,0.099,-1.952,-0.531,-2.354,-1.868,-2.553,-1.405,0.853,-0.706,1.324,0.099,-0.683
Slovenia,1,2.598,0.968,-1.098,-0.461,-2.233,-0.953,-4.519,-2.561,-2.457,1.822,-0.774,-0.383,0.615,0.383,0.27
Slovenia,1,0.216,-0.604,1.761,1.642,-0.335,0.865,-2.272,-0.999,-1.559,0.012,-0.156,0.214,0.392,1.589,-0.664
Sweden,1,1.889,2.655,2.154,1.018,0.839,1.774,-2.119,-0.213,-1.005,1.79,1.376,0.401,1.513,1.729,-2.235
Switzerland,1,1.949,2.65,1.041,1.691,-2.981,1.725,-2.573,0.241,-1.199,1.563,-2.306,-3.436,2.152,-2.942,-2.045
